Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price,Hotel_Link
Meghna Residency,3.6,trivandrum,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Airport shuttle,Full-service laundry,Accessible,831.0,https://www.agoda.com/search?text=Meghna%20Residency%20trivandrum%20India
The South Gate By WB Hotels,3.9,trivandrum,Free breakfast,Free Wi-Fi,Air conditioning,Room service,Full-service laundry,Kid-friendly,Kitchen,Room service,Kid-friendly,2111.0,https://www.agoda.com/search?text=The%20South%20Gate%20By%20WB%20Hotels%20trivandrum%20India
Anies Garden | Rooms in a Homestay,4.3,trivandrum,4-star hotel,Free breakfast,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,1645.0,https://www.agoda.com/search?text=Anies%20Garden%20%7C%20Rooms%20in%20a%20Homestay%20trivandrum%20India
Treebo Trend Goodland Residency,4.1,trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,4265.0,https://www.agoda.com/search?text=Treebo%20Trend%20Goodland%20Residency%20trivandrum%20India
Windsor Rajadhani,4.1,trivandrum,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4341.0,https://www.agoda.com/search?text=Windsor%20Rajadhani%20trivandrum%20India
Backwater Ripples,4.4,kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,8968.0,https://backwaterripples.com/
Lakesong Resort,4.2,kumarakom,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,11948.0,https://www.agoda.com/search?text=Lakesong%20Resort%20kumarakom%20India
Abad Whispering Palms | Resort in Kumarakom,4.3,kumarakom,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6921.0,https://www.abadhotels.com/
Cocobay Resort,4.2,kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6138.0,https://www.agoda.com/search?text=Cocobay%20Resort%20kumarakom%20India
Paradise Resorts Kumarakom,4.1,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Airport shuttle,5148.0,https://www.agoda.com/search?text=Paradise%20Resorts%20Kumarakom%20kumarakom%20India
"The Zuri Kumarakom, Kerala Resort & Spa",4.3,kumarakom,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,13682.0,https://www.agoda.com/search?text=The%20Zuri%20Kumarakom%2C%20Kerala%20Resort%20%26%20Spa%20kumarakom%20India
Saro Lake County,4.0,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Kitchen,Airport shuttle,2945.0,https://www.agoda.com/search?text=Saro%20Lake%20County%20kumarakom%20India
Kumarakom Heritage Resort & Ayurveda,4.1,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Bar,Restaurant,5355.0,https://www.agoda.com/search?text=Kumarakom%20Heritage%20Resort%20%26%20Ayurveda%20kumarakom%20India
Rhythm Kumarakom,4.5,kumarakom,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,14712.0,https://www.agoda.com/search?text=Rhythm%20Kumarakom%20kumarakom%20India
Manor Backwater Resort,3.8,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,3024.0,https://www.agoda.com/search?text=Manor%20Backwater%20Resort%20kumarakom%20India
ILLIKKALAM Lakeside Cottages,4.1,kumarakom,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,3549.0,https://www.agoda.com/search?text=ILLIKKALAM%20Lakeside%20Cottages%20kumarakom%20India
KTDC Waterscapes,4.5,kumarakom,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,10560.0,https://www.agoda.com/search?text=KTDC%20Waterscapes%20kumarakom%20India
Backwater Brook,4.7,kumarakom,Free breakfast,Free Wi-Fi,Pool,Restaurant,Kitchen,Full-service laundry,Kid-friendly,Kitchen,Accessible,5063.0,https://www.agoda.com/search?text=Backwater%20Brook%20kumarakom%20India
Gokulam Grand Resort and Spa Kumarakom,4.7,kumarakom,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,Room service,14059.0,https://www.agoda.com/search?text=Gokulam%20Grand%20Resort%20and%20Spa%20Kumarakom%20kumarakom%20India
Backwater Ripples,4.4,kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,8961.0,https://backwaterripples.com/
Lily Pad on the Vembanad,4.2,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Spa,Restaurant,Room service,6160.0,https://www.agoda.com/search?text=Lily%20Pad%20on%20the%20Vembanad%20kumarakom%20India
Kumarakom Lake Resort,4.8,kumarakom,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,30267.0,https://www.agoda.com/search?text=Kumarakom%20Lake%20Resort%20kumarakom%20India
Renai Green Fields,3.8,kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,2849.0,https://www.agoda.com/search?text=Renai%20Green%20Fields%20kumarakom%20India
Kumarakom Park Resort,4.3,kumarakom,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,6726.0,https://www.agoda.com/search?text=Kumarakom%20Park%20Resort%20kumarakom%20India
Meenakshi River Villa | Rooms & Wi-Fi,4.5,kumarakom,1-star hotel,Free Wi-Fi,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,3488.0,https://www.agoda.com/search?text=Meenakshi%20River%20Villa%20%7C%20Rooms%20%26%20Wi-Fi%20kumarakom%20India
Kumarakom Wood Castle,4.4,kumarakom,3-star hotel,Free Wi-Fi,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,2861.0,https://www.agoda.com/search?text=Kumarakom%20Wood%20Castle%20kumarakom%20India
Abad Whispering Palms | Resort in Kumarakom,4.3,kumarakom,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,7999.0,https://www.abadhotels.com/
ILLIKKALAM Lakeside Cottages,4.1,kumarakom,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,3724.0,https://www.agoda.com/search?text=ILLIKKALAM%20Lakeside%20Cottages%20kumarakom%20India
Treebo Trend Kuval Inn,4.2,pune,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Full-service laundry,Kid-friendly,Spa,No fitness center,2084.0,https://www.agoda.com/search?text=Treebo%20Trend%20Kuval%20Inn%20pune%20India
Hotel Corporate Stay,4.0,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2123.0,https://www.agoda.com/search?text=Hotel%20Corporate%20Stay%20pune%20India
Jugglers Backpack,4.7,pune,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,Business center,1116.0,https://www.agoda.com/search?text=Jugglers%20Backpack%20pune%20India
Hyatt Pune,4.4,pune,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,9701.0,https://www.agoda.com/search?text=Hyatt%20Pune%20pune%20India
"The Central Park Hotel, Pune",4.1,pune,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,3708.0,https://www.agoda.com/search?text=The%20Central%20Park%20Hotel%2C%20Pune%20pune%20India
"Four Points by Sheraton Hotel & Serviced Apartments, Pune",4.3,pune,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6796.0,https://www.agoda.com/search?text=Four%20Points%20by%20Sheraton%20Hotel%20%26%20Serviced%20Apartments%2C%20Pune%20pune%20India
Hotel Phoenix,4.0,pune,3-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2752.0,https://www.agoda.com/search?text=Hotel%20Phoenix%20pune%20India
Hotel anvisha executive,4.4,pune,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Room service,Airport shuttle,Full-service laundry,Room service,1067.0,https://www.agoda.com/search?text=Hotel%20anvisha%20executive%20pune%20India
EMA Family Rooms,3.8,pune,Free breakfast,Free Wi-Fi,Air conditioning,Fireplace,Kitchen,Cable TV,Paid parking,Free Wi-Fi,No crib,1241.0,https://www.agoda.com/search?text=EMA%20Family%20Rooms%20pune%20India
JM Four Hotel,3.9,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2550.0,https://www.agoda.com/search?text=JM%20Four%20Hotel%20pune%20India
Royal Orchid Central Pune,4.3,pune,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5085.0,https://www.agoda.com/search?text=Royal%20Orchid%20Central%20Pune%20pune%20India
"StayBird - B Suite, Business Hotel",4.0,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2512.0,https://www.agoda.com/search?text=StayBird%20-%20B%20Suite%2C%20Business%20Hotel%20pune%20India
Hotel Sardar,3.5,pune,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,1344.0,https://www.agoda.com/search?text=Hotel%20Sardar%20pune%20India
Sunny's World,4.2,pune,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,Accessible,4549.0,https://www.agoda.com/search?text=Sunny%27s%20World%20pune%20India
Procida Hostel by Zero Jhanjhat,4.4,pune,Breakfast,Free Wi-Fi,Pool,Restaurant,Full-service laundry,Air conditioning,Restaurant,Full-service laundry,Spa,921.0,https://www.agoda.com/search?text=Procida%20Hostel%20by%20Zero%20Jhanjhat%20pune%20India
The Oakwood,4.0,pune,4-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,3333.0,https://www.agoda.com/search?text=The%20Oakwood%20pune%20India
Sheraton Grand Pune Bund Garden Hotel,4.5,pune,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,9435.0,https://www.agoda.com/search?text=Sheraton%20Grand%20Pune%20Bund%20Garden%20Hotel%20pune%20India
Pratikruti The Lakeview Resort,4.2,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,1284.0,https://www.agoda.com/search?text=Pratikruti%20The%20Lakeview%20Resort%20pune%20India
Hotel Centro,4.4,pune,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,Kid-friendly,2607.0,https://www.agoda.com/search?text=Hotel%20Centro%20pune%20India
St Laurn Hotel,3.9,pune,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,4381.0,https://www.agoda.com/search?text=St%20Laurn%20Hotel%20pune%20India
Cherry Tree | Rooms & Wi-Fi,3.6,pune,Breakfast,Free Wi-Fi,Air conditioning,Fireplace,Free parking,Free Wi-Fi,No crib,No elevator,No fitness center,1588.0,https://www.agoda.com/search?text=Cherry%20Tree%20%7C%20Rooms%20%26%20Wi-Fi%20pune%20India
Fairfield by Marriott Pune Kharadi,4.3,pune,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,7280.0,https://www.agoda.com/search?text=Fairfield%20by%20Marriott%20Pune%20Kharadi%20pune%20India
Sunny's World,4.2,pune,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,Accessible,4549.0,https://www.agoda.com/search?text=Sunny%27s%20World%20pune%20India
Novotel Chennai Sipcot,4.7,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5145.0,https://www.agoda.com/search?text=Novotel%20Chennai%20Sipcot%20chennai%20India
Park Plaza Chennai OMR,4.1,chennai,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4704.0,https://www.agoda.com/search?text=Park%20Plaza%20Chennai%20OMR%20chennai%20India
Avenue 11 Boutique Residences | Rooms & Caretaker,4.0,chennai,Free breakfast,Free breakfast,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,3853.0,https://www.agoda.com/search?text=Avenue%2011%20Boutique%20Residences%20%7C%20Rooms%20%26%20Caretaker%20chennai%20India
"Olive Inn Luxurious 4-BHK Villa with Indoor Swimming Pool, Wifi, BBQ",3.4,chennai,Villa,Free Wi-Fi,Free Wi-Fi,7 bathrooms,Air conditioning,Pool,Kitchen,Smoke-free,Free parking,9753.0,https://www.agoda.com/search?text=Olive%20Inn%20Luxurious%204-BHK%20Villa%20with%20Indoor%20Swimming%20Pool%2C%20Wifi%2C%20BBQ%20chennai%20India
Juhu Beach House ECR,4.5,chennai,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Kitchen,Full-service laundry,No elevator,No elevator,4965.0,https://www.agoda.com/search?text=Juhu%20Beach%20House%20ECR%20chennai%20India
Umino Beach Resort Banquet Hall and Restaurant,4.3,chennai,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Restaurant,Room service,Full-service laundry,3677.0,https://www.agoda.com/search?text=Umino%20Beach%20Resort%20Banquet%20Hall%20and%20Restaurant%20chennai%20India
VGP Golden Beach Resort,3.9,chennai,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Spa,Beach access,4267.0,https://www.agoda.com/search?text=VGP%20Golden%20Beach%20Resort%20chennai%20India
"Regenta Central RS, Chennai(OMR). 4 Star Hotel",4.2,chennai,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service,3366.0,https://www.agoda.com/search?text=Regenta%20Central%20RS%2C%20Chennai%28OMR%29.%204%20Star%20Hotel%20chennai%20India
Turyaa Chennai,4.3,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,3797.0,https://www.agoda.com/search?text=Turyaa%20Chennai%20chennai%20India
Blue Lagoon Beach Resort,3.9,chennai,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,6402.0,https://www.agoda.com/search?text=Blue%20Lagoon%20Beach%20Resort%20chennai%20India
Fairfield by Marriott Chennai OMR,4.2,chennai,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3707.0,https://www.agoda.com/search?text=Fairfield%20by%20Marriott%20Chennai%20OMR%20chennai%20India
Four Points by Sheraton Chennai OMR,4.2,chennai,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,5053.0,https://www.agoda.com/search?text=Four%20Points%20by%20Sheraton%20Chennai%20OMR%20chennai%20India
"Taj Club House, Chennai",4.4,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,7552.0,https://www.agoda.com/search?text=Taj%20Club%20House%2C%20Chennai%20chennai%20India
"Vivanta Chennai, IT Expressway",4.3,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,5485.0,https://www.agoda.com/search?text=Vivanta%20Chennai%2C%20IT%20Expressway%20chennai%20India
Ilara Hotels & Spa,4.6,chennai,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Room service,4234.0,https://www.agoda.com/search?text=Ilara%20Hotels%20%26%20Spa%20chennai%20India
Maroma Suites,4.5,chennai,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible,3795.0,https://www.agoda.com/search?text=Maroma%20Suites%20chennai%20India
The Madras Grand - Hotel Egmore,4.5,chennai,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,Full-service laundry,4974.0,https://www.agoda.com/search?text=The%20Madras%20Grand%20-%20Hotel%20Egmore%20chennai%20India
"Holiday Inn Express Chennai Omr Thoraipakkam, an IHG Hotel",4.1,chennai,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,3859.0,https://www.agoda.com/search?text=Holiday%20Inn%20Express%20Chennai%20Omr%20Thoraipakkam%2C%20an%20IHG%20Hotel%20chennai%20India
"Crowne Plaza New Delhi Rohini, an IHG Hotel",4.4,delhi,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,7825.0,https://www.agoda.com/search?text=Crowne%20Plaza%20New%20Delhi%20Rohini%2C%20an%20IHG%20Hotel%20delhi%20India
ट्राइडेंट होटल,4.6,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,12272.0,https://www.agoda.com/search?text=%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%87%E0%A4%A1%E0%A5%87%E0%A4%82%E0%A4%9F%20%E0%A4%B9%E0%A5%8B%E0%A4%9F%E0%A4%B2%20delhi%20India
